Company Name,Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Tata C,Jul-17,2364,2583.7,2325,2494.05,1838875,96736,4475217091,794158,43.19,258.7,130.05
Tata C,Aug-17,2494.05,2547,2458,2496.75,1244780,33919,3100340936,642794,51.64,89,2.7
Tata C,Sep-17,2475,2539.7,2420.65,2437,1161151,32062,2882296601,709518,61.1,119.05,-38
Tata C,Oct-17,2435,2634.9,2425,2616.3,1354562,34100,3394131091,877854,64.81,209.9,181.3
Tata C,Nov-17,2622,2774,2581.1,2634.25,794965,41073,2145458619,277293,34.88,192.9,12.25
Tata C,Dec-17,2637,2711.7,2496.9,2700.4,812149,41086,2119940017,281227,34.63,214.8,63.4
Tata C,Jan-18,2689.8,3254.8,2622.7,3111.75,2171549,87343,6505736833,818486,37.69,632.1,421.95
Tata C,Feb-18,3120,3190,2894.25,3038.25,4953941,90590,14947932926,3795362,76.61,295.75,-81.75
Tata C,Mar-18,3041,3133,2782.3,2849.3,3808377,108150,11067672023,932579,24.49,350.7,-191.7
Tata C,Apr-18,2845,3560,2845,3531.4,3783069,155554,12353654148,1487518,39.32,715,686.4
Tata C,May-18,3533,3674,1726.1,1744.8,1755361,90867,5866401691,391169,22.28,1947.9,-1788.2
Tata C,Jun-18,1758,1886.2,1712.9,1847.2,7164804,199349,12988174444,3971682,55.43,173.3,89.2
Tata C,Jul-18,1829.95,2012,1829.95,1941.25,5412053,196104,10529888879,2673577,49.4,182.05,111.3
Tata C,Aug-18,1951,2090.5,1941,2078.2,2809851,114656,5664558777,1471330,52.36,149.5,127.2
Tata C,Sep-18,2080.05,2214.15,2018.85,2184.5,2134177,103531,4494379185,938226,43.96,195.3,104.45
Tata C,Oct-18,2186,2273,1784,1937.6,6009839,182965,12087389910,3122597,51.96,489,-248.4
Tata C,Nov-18,1940.1,2000,1787,1970.6,3600207,108475,6826796248,1710121,47.5,213,30.5
Tata C,Dec-18,1980.1,2028.4,1872,1893.55,2776094,96850,5458354670,739922,26.65,156.4,-86.55
Tata C,Jan-19,1905,2019.5,1809.55,2014.6,3463170,154517,6556309698,1053535,30.42,209.95,109.6
Tata C,Feb-19,2005,2097.8,1882,1984.25,3664344,103471,7417931701,1837759,50.15,215.8,-20.75
Tata C,Mar-19,1990,2069,1959,2000.4,2582161,99920,5182547730,1068476,41.38,110,10.4
Tata C,Apr-19,2010,2265,2006,2254.95,3232471,123855,6756853223,1264260,39.11,259,244.95
Tata C,May-19,2260,2260,2034,2196.85,2859620,127698,6059516292,1073457,37.54,226,-63.15
Tata C,Jun-19,2207.8,2290.65,2145.2,2227.25,2060686,87737,4608906982,875850,42.5,145.45,19.45
Tata C,Jul-19,2239.65,2259.9,2060,2205.4,4300813,137400,9191159345,2414546,56.14,199.9,-34.25
Tata C,Aug-19,2206,2280.85,2145.9,2258.05,2088400,88153,4619932264,945974,45.3,134.95,52.05
Tata C,Sep-19,2259,2296,1975,2099.2,2349328,157571,4924039553,824742,35.11,321,-159.8
Tata C,Oct-19,2099.5,2285.5,1929,2270.2,2513926,130634,5180661945,1099857,43.75,356.5,170.7
Tata C,Nov-19,2270,2274.2,2036,2052.7,2341916,113669,4996417739,1206970,51.54,238.2,-217.3
Tata C,Dec-19,2060,2246.15,1983.85,2161.3,3728749,159352,7794903913,1562128,41.89,262.3,101.3
Tata C,Jan-20,2170,2259.95,2072.4,2079.3,2460473,140228,5388774748,1277544,51.92,187.55,-90.7
Tata C,Feb-20,2080,2228.85,1990.4,2000.95,2264640,132209,4857193242,1183855,52.28,238.45,-79.05
Tata C,Mar-20,2025.1,2147,1504.4,1823.05,5405600,290319,9759732323,1751945,32.41,642.6,-202.05
Tata C,Apr-20,1830,2030,1650,2014.85,2933547,212160,5260247369,756577,25.79,380,184.85
Tata C,May-20,1960,2030,1867,1971.55,2336179,135008,4547481020,1110029,47.51,163,11.55
Tata C,Jun-20,1995,2132.05,1982,2082.2,5655678,217755,11582114199,2777613,49.11,150.05,87.2
Tata C,Jul-20,2085.05,2357.15,2081.55,2282.45,4563262,226138,10146005474,1894592,41.52,275.6,197.4
